N,X,Y
300467,1784948.2264155417,723841.1386042419
300468,1784782.8909361816,725423.5131467273
300469,1791782.524707701,740646.2181341404
300470,1785803.7862625825,726240.0748571298
300471,1793604.0721888687,757891.5412087445
300472,1791147.9520244421,758413.0662306823
300473,1793333.0518744893,757897.1741049406
300474,1791436.9383210482,761361.942014052
300475,1791905.7101959188,761750.9040325301
300476,1793201.1742369926,761238.1530415543
300477,1798594.3680469063,766066.4394597997
300478,1807860.9645695596,777469.5450717532
300479,1843463.5019452907,770047.6360047365
300480,1845960.5969738204,782780.4878463016
300481,1846234.4462162163,782780.8944153247
300482,1841990.426767122,758930.8610185888
300483,1849968.475642772,783401.8652311679
300484,1827539.680288452,722941.3337943205
300485,1828818.2738815104,710515.3866176688
300486,1825675.6228725587,728219.4110382884
300487,1823195.3452751748,727872.3826450275
300488,1825718.6269289043,727931.2398119754
300489,1898647.1613405724,762149.6470792267
300490,1899845.1022767285,762079.4424490269
300491,1900679.544445396,761910.9389289265
300492,1900795.977525105,760492.4447079437
300493,1900675.6242739048,759762.1729832349
300494,1880130.9923686709,765254.0414441827
300495,1879100.0057930332,767004.5498681685
300496,1882423.34976805,766589.4513758809
300497,1898328.4633264495,761138.6406174111
300498,1900095.346795352,761035.8156522558
300499,1898169.056292609,762247.2497697511
300500,1897312.5974327943,761448.8817744221
300501,1855433.6227259133,666934.4075065696
300502,1857739.2421004013,666444.5732299791
300503,1855320.1513169832,671084.7332428888
300504,1856187.4723024038,671824.5370865354
300505,1850627.020237007,673714.4649491733
300506,1850671.523332533,672746.1739075963
300507,1855538.723211356,677714.5415798774
300508,1848292.154112477,674899.5452237412
300509,1850124.8465362669,676573.6104801204
300510,1849087.3058282642,675637.4359121006
300511,1849054.4754891729,675038.334778038
300512,1844260.896931516,675060.3195718918
300513,1843296.3960725628,675829.1434702446
300514,1843059.5577650452,676029.568651013
300515,1842661.9608409412,673256.3767415566
300516,1842434.903360755,672081.7846655148
