A,B,DIST,FACTYPE,LINKGRP,CSPEEDAM,CSPEEDMD,CSPEEDPM,CSPEEDNT,NOTE
300420.0,101527.0,0.24042852451117824,65,22,15,15,15,15,BUS
300420.0,300421.0,0.16895237173191532,65,22,15,15,15,15,BUS
300421.0,300420.0,0.16895237173191527,65,22,15,15,15,15,BUS
300421.0,300422.0,0.5119448468142841,65,22,15,15,15,15,BUS
300422.0,300421.0,0.5119448468142843,65,22,15,15,15,15,BUS
300422.0,107405.0,0.1793833265567975,65,22,15,15,15,15,BUS
107405.0,300422.0,0.17938332655679756,65,22,15,15,15,15,BUS
103642.0,300344.0,0.11253444231763046,65,22,15,15,15,15,BUS
300344.0,103642.0,0.11253444231763045,65,22,15,15,15,15,BUS
103479.0,300305.0,0.4369855900356348,65,22,15,15,15,15,BUS
300305.0,103479.0,0.43698559003563475,65,22,15,15,15,15,BUS
300398.0,103479.0,0.11698832745037563,65,22,15,15,15,15,BUS
103479.0,300398.0,0.11698832745037563,65,22,15,15,15,15,BUS
300423.0,300424.0,0.00568181818181727,65,22,15,15,15,15,BUS
300424.0,300423.0,0.00568181818181727,65,22,15,15,15,15,BUS
300424.0,103355.0,0.10939440364608055,65,22,15,15,15,15,BUS
103355.0,300424.0,0.10939440364608052,65,22,15,15,15,15,BUS
103433.0,300389.0,0.041841759458428565,65,22,15,15,15,15,BUS
300389.0,103433.0,0.041841759458428565,65,22,15,15,15,15,BUS
106851.0,103597.0,0.2884617390327153,65,22,15,15,15,15,BUS
103597.0,106851.0,0.2884617390327155,65,22,15,15,15,15,BUS
104024.0,101064.0,0.10748769353651767,65,22,15,15,15,15,BUS
101064.0,104024.0,0.10748769353651767,65,22,15,15,15,15,BUS
101064.0,103874.0,0.1845918969982921,65,22,15,15,15,15,BUS
103874.0,101064.0,0.18459189699829207,65,22,15,15,15,15,BUS
101064.0,300425.0,0.031998451027739516,65,22,15,15,15,15,BUS
300425.0,101064.0,0.031998451027739516,65,22,15,15,15,15,BUS
103357.0,300426.0,0.0581907730390098,65,22,15,15,15,15,BUS
300426.0,103357.0,0.0581907730390098,65,22,15,15,15,15,BUS
300426.0,300427.0,0.2545761479140449,65,22,15,15,15,15,BUS
300427.0,300426.0,0.2545761479140449,65,22,15,15,15,15,BUS
300427.0,300423.0,0.31789740353615087,65,22,15,15,15,15,BUS
300423.0,300427.0,0.31789740353615087,65,22,15,15,15,15,BUS
300294.0,300394.0,0.06117740043044438,65,22,15,15,15,15,BUS
300394.0,300294.0,0.06117740043044438,65,22,15,15,15,15,BUS
300298.0,101101.0,0.28548510166562635,65,22,15,15,15,15,BUS
101101.0,300298.0,0.2854851016656265,65,22,15,15,15,15,BUS
102026.0,300428.0,0.1754206327115435,65,22,15,15,15,15,BUS
300428.0,102026.0,0.17542063271154348,65,22,15,15,15,15,BUS
300428.0,300429.0,0.15376694901502921,65,22,15,15,15,15,BUS
300429.0,300428.0,0.15376694901502924,65,22,15,15,15,15,BUS
300429.0,300430.0,0.06403283794946903,65,22,15,15,15,15,BUS
300430.0,300429.0,0.06403283794946903,65,22,15,15,15,15,BUS
102644.0,300431.0,0.30901765353442445,65,22,15,15,15,15,BUS
300431.0,102644.0,0.3090176535344245,65,22,15,15,15,15,BUS
300431.0,300432.0,0.09669705113726008,65,22,15,15,15,15,BUS
300432.0,300431.0,0.0966970511372601,65,22,15,15,15,15,BUS
300432.0,300433.0,0.13889516871127472,65,22,15,15,15,15,BUS
300433.0,300432.0,0.13889516871127472,65,22,15,15,15,15,BUS
300434.0,300435.0,0.06813905211271924,65,22,15,15,15,15,BUS
300435.0,300434.0,0.06813905211271924,65,22,15,15,15,15,BUS
300435.0,300436.0,0.15658163960868612,65,22,15,15,15,15,BUS
300436.0,300435.0,0.15658163960868604,65,22,15,15,15,15,BUS
300436.0,101814.0,0.21187786541640166,65,22,15,15,15,15,BUS
101814.0,300436.0,0.2118778654164016,65,22,15,15,15,15,BUS
106980.0,103587.0,0.296604109587866,65,22,15,15,15,15,BUS
103587.0,106980.0,0.29660410958786587,65,22,15,15,15,15,BUS
103157.0,300437.0,0.1738436061339468,65,22,15,15,15,15,BUS
